Type d'établissement;Nombre d'étudiants inscrits (inscriptions principales) y compris doubles inscriptions CPGE;Âge au baccalauréat : En avance au bac d'un an ou plus;Âge au baccalauréat : A l'heure;Âge au baccalauréat : En retard au bac d'un an ou plus;Âge au baccalauréat : Non renseigné ou non bachelier;etablissement_code_commune;etablissement_commune;Dernier établissement;rentree
Grand établissement;103;13;45;16;29;75114;Paris 14e;Observatoire de Paris;2012
Université;6792;243;3453;2128;931;84007;Avignon;Avignon Université;2012
Université;3127;136;1499;1246;246;98738;Punaauia;Université de la Polynésie Française;2012
Université;44959;2127;26385;7696;8546;67482;Strasbourg;Université de Strasbourg;2013
Université;8590;314;5074;2419;757;56121;Lorient;Université Bretagne Sud;2013
École;1499;286;944;60;209;94016;Cachan;École normale supérieure Paris-Saclay;2013
Université;20174;998;12105;4550;2424;25056;Besançon;Université de Franche-Comté;2013
École;853;51;638;125;39;42218;Saint-Étienne;Centrale Lyon;2013
Autre établissement;1790;169;1202;160;259;38421;Saint-Martin-d'Hères;Sciences Po Grenoble;2013
Université;10956;447;6145;3226;1138;62041;Arras;Université d'Artois;2013
Université;8507;296;4525;2391;1289;83062;La Garde;Université de Toulon;2013
École;673;96;463;30;84;86062;Chasseneuil-du-Poitou;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;2013
Université;14484;676;8295;3564;1681;33318;Pessac;Université Bordeaux Montaigne;2013
École;2741;116;1632;420;573;90094;Sevenans;Université de technologie de Belfort-Montbéliard;2013
Grand établissement;2331;283;1649;176;223;33522;Talence;Bordeaux INP;2013
Université;10243;340;5230;3040;1419;59032;Aulnoy-lez-Valenciennes;Université Polytechnique Hauts-de-France;2013
École;1746;188;1203;62;293;76575;Saint-Étienne-du-Rouvray;Institut national des sciences appliquées de Rouen Normandie;2013
Université;12837;556;7886;3929;465;97411;Saint-Denis;Université de La Réunion;2013
Université;20926;680;8964;6725;4453;93079;Villetaneuse;Université Sorbonne Paris Nord;2013
Autre établissement;1543;142;1120;106;175;31555;Toulouse;Sciences Po Toulouse;2013
École;2109;460;1219;59;371;91272;Gif-sur-Yvette;CentraleSupélec;2013
École;1633;348;951;24;310;69081;Écully;Centrale Lyon;2013
Université;23387;1280;13793;4578;3719;86194;Poitiers;Université de Poitiers;2013
École;153;7;117;25;4;41018;Blois;Institut national des sciences appliquées Centre Val de Loire;2013
École;476;49;348;21;58;35238;Rennes;École nationale supérieure de chimie de Rennes;2013
Université;28766;1831;18745;5754;2434;31555;Toulouse;Université Toulouse III - Paul Sabatier;2013
Université;8636;235;4058;2313;2030;66136;Perpignan;Université de Perpignan Via Domitia;2013
Université;14898;713;8904;3063;1896;87085;Limoges;Université de Limoges;2013
Université;20632;793;11360;5925;2554;35238;Rennes;Université Rennes 2;2013
Université;15133;851;9107;3376;1799;34172;Montpellier;Université de Montpellier;2013
Grand établissement;125;24;87;8;6;75105;Paris  5e;École nationale des Chartes;2013
Grand établissement;4759;666;3112;258;723;38185;Grenoble;Institut polytechnique de Grenoble;2014
École;1799;181;1210;69;339;35238;Rennes;Institut national des sciences appliquées de Rennes;2014
Université;32183;2890;16537;4221;5105;75105;Paris  5e;Sorbonne Université;2014
Université;27640;1657;15547;5807;4606;6088;Nice;Université Côte d'Azur;2014
École;5927;672;3454;235;1566;69266;Villeurbanne;Institut national des sciences appliquées de Lyon;2014
Université;10135;375;5855;2757;1147;62041;Arras;Université d'Artois;2014
Grand établissement;7083;624;3549;1696;1214;75113;Paris 13e;Institut national des langues et civilisations orientales;2014
Université;16592;1187;10317;2890;2176;75105;Paris  5e;Université Panthéon-Assas;2014
Autre établissement;1223;155;888;54;126;35238;Rennes;Sciences Po Rennes;2014
Université;7230;225;3705;1942;1328;76351;Le Havre;Université Le Havre Normandie;2014
Université;18143;1419;11968;3182;1574;38185;Grenoble;Université Grenoble Alpes;2014
Université;32978;2910;18783;6035;5249;75106;Paris  6e;Université de Paris;2014
Grand établissement;332;15;150;74;93;35238;Rennes;École des hautes études en santé publique;2014
École;567;89;315;37;126;91228;Évry-Courcouronnes;École nationale supérieure d'informatique pour l'industrie et l'entreprise;2014
Université;5497;348;3054;1127;954;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2014
Université;2854;736;1002;606;510;98818;Nouméa;Université de la Nouvelle-Calédonie;2014
École;1786;151;1358;134;143;67482;Strasbourg;Institut national des sciences appliquées de Strasbourg;2014
Université;7382;313;4409;1660;1000;17300;La Rochelle;La Rochelle Université;2014
Université;23495;1395;15101;4660;2326;37261;Tours;Université de Tours;2014
École;3653;444;2432;222;555;31555;Toulouse;Toulouse INP;2014
Université;8673;230;4152;2231;2059;66136;Perpignan;Université de Perpignan Via Domitia;2014
Université;15338;735;9374;2959;1902;87085;Limoges;Université de Limoges;2014
Autre établissement;2862;139;1940;689;94;35238;Rennes;;2014
École;837;75;554;145;63;95127;Cergy;École nationale supérieure de l'électronique et de ses applications de Cergy;2014
Université;9669;380;5534;2295;1460;59183;Dunkerque;Université du Littoral Côte d'Opale;2014
Université;12611;570;7702;2915;1295;73065;Chambéry;Université Savoie Mont Blanc;2014
École;1795;191;1248;61;295;35238;Rennes;Institut national des sciences appliquées de Rennes;2015
Université;11228;488;6571;2949;1002;77083;Champs-sur-Marne;Université Gustave Eiffel;2015
Autre établissement;1832;204;1139;87;402;33318;Pessac;Sciences Po Bordeaux;2015
Grand établissement;7263;639;3646;1786;1191;75113;Paris 13e;Institut national des langues et civilisations orientales;2015
Université;41801;2619;25511;8204;4874;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2015
Autre établissement;1696;204;1300;59;133;59350;Lille;Sciences Po Lille;2015
Université;16989;1252;10803;2693;2175;75105;Paris  5e;Université Panthéon-Assas;2015
École;463;77;320;12;54;34172;Montpellier;École nationale supérieure de chimie de Montpellier;2015
Université;4487;137;2508;1471;177;30189;Nîmes;Université de Nîmes;2015
Université;27841;1520;17642;5355;2710;21231;Dijon;Université de Bourgogne;2015
École;1043;40;814;110;79;65440;Tarbes;École nationale d'ingénieurs de Tarbes;2015
Université;8069;261;4409;1602;1651;68224;Mulhouse;Université de Haute-Alsace;2015
École;630;65;425;73;67;93070;Saint-Ouen-sur-Seine;ISAE-Supméca;2015
École;447;95;317;17;18;91477;Palaiseau;Institut d'optique Graduate School;2015
Grand établissement;2347;285;1690;141;231;33522;Talence;Bordeaux INP;2015
Université;21752;829;8637;6285;5908;93066;Saint-Denis;Université Paris 8 - Vincennes - Saint-Denis;2015
Université;7875;331;4816;1649;1041;17300;La Rochelle;La Rochelle Université;2015
Université;14287;632;9270;3588;569;97411;Saint-Denis;Université de La Réunion;2015
École;830;58;565;87;120;25056;Besançon;École nationale supérieure de mécanique et des microtechniques;2015
École;2823;312;1854;147;510;31555;Toulouse;Institut national des sciences appliquées de Toulouse;2015
Université;31606;1371;16206;7654;4717;92050;Nanterre;Université Paris Nanterre;2015
Autre établissement;1540;171;1091;67;211;69387;Lyon 7e;Sciences Po Lyon;2015
Université;27622;2406;19060;4124;2029;59350;Lille;Université de Lille;2015
École;1928;430;1216;78;204;69387;Lyon 7e;École normale supérieure de Lyon;2015
Grand établissement;4950;1125;2591;146;1088;91272;Gif-sur-Yvette;CentraleSupélec;2015
École;201;22;158;14;7;87085;Limoges;Université de Limoges;2015
Université;18341;907;10176;3930;2786;42218;Saint-Étienne;Université Jean Monnet;2015
Grand établissement;92;21;49;22;;75114;Paris 14e;Observatoire de Paris;2015
Université;64037;3784;36873;13976;7542;13207;Marseille  7e;Aix-Marseille Université;2015
Université;24243;1294;14723;5051;2484;51454;Reims;Université de Reims Champagne-Ardenne;2016
École;1573;395;842;58;278;75105;Paris  5e;École normale supérieure PSL;2016
Autre établissement;29;1;21;6;1;75104;Paris  4e;Université Paris Lumières;2016
Université;16265;851;8177;2896;4013;75105;Paris  5e;Université Sorbonne Nouvelle - Paris 3;2016
Université;9627;433;5333;1682;1537;72181;Le Mans;Le Mans Université;2016
Université;29935;1714;18816;5936;2541;76451;Mont-Saint-Aignan;Université de Rouen Normandie;2016
Université;16221;1147;10604;2497;1871;75105;Paris  5e;Université Panthéon-Assas;2016
École;4187;424;2636;218;904;60159;Compiègne;Université de technologie de Compiègne;2016
École;716;76;484;77;79;14118;Caen;École nationale supérieure d'ingénieurs de Caen;2016
Université;12352;549;7376;2306;1544;64445;Pau;Université de Pau et des Pays de l'Adour;2016
Université;14499;730;9065;2898;1442;33318;Pessac;Université Bordeaux Montaigne;2016
Université;8310;248;4553;1553;1710;68224;Mulhouse;Université de Haute-Alsace;2016
École;607;50;422;71;64;93070;Saint-Ouen-sur-Seine;ISAE-Supméca;2016
Autre établissement;264;25;111;11;117;75105;Paris  5e;Université Paris sciences et lettres;2016
Grand établissement;1148;71;435;217;425;75114;Paris 14e;École pratique des hautes études;2016
Université;11361;399;6317;2613;1787;59032;Aulnoy-lez-Valenciennes;Université Polytechnique Hauts-de-France;2016
Grand établissement;394;30;202;51;111;75105;Paris  5e;Muséum national d'histoire naturelle;2016
Université;19228;866;11301;4888;1891;95127;Cergy;CY Cergy Paris Université;2016
École;617;96;350;27;144;91228;Évry-Courcouronnes;École nationale supérieure d'informatique pour l'industrie et l'entreprise;2016
École;868;65;588;80;135;25056;Besançon;École nationale supérieure de mécanique et des microtechniques;2016
École;1817;378;1020;40;379;69081;Écully;Centrale Lyon;2016
École;374;81;274;17;2;35047;Bruz;École normale supérieure de Rennes;2016
Grand établissement;60480;2939;36890;10475;8475;54395;Nancy;Université de Lorraine;2016
Grand établissement;3026;226;1157;308;1335;75113;Paris 13e;École des hautes études en sciences sociales;2016
Université;13511;625;8368;2537;1406;73065;Chambéry;Université Savoie Mont Blanc;2016
Université;3365;145;1902;1062;256;98738;Punaauia;Université de la Polynésie Française;2016
Grand établissement;228;23;175;17;13;69266;Villeurbanne;École nationale supérieure des sciences de l'information et des bibliothèques;2017
Autre établissement;1334;98;427;101;708;77083;Champs-sur-Marne;Paris-Est Sup;2017
Université;29818;1734;17204;5062;4418;6088;Nice;Université Côte d'Azur;2017
Université;21530;1057;14205;3590;1942;25056;Besançon;Université de Franche-Comté;2017
Université;40553;2371;26956;6028;3681;44109;Nantes;Université de Nantes;2017
Université;26190;1854;17949;3390;2077;35238;Rennes;Université de Rennes 1;2017
Université;9689;321;5477;1885;1519;83062;La Garde;Université de Toulon;2017
École;447;76;291;14;65;34172;Montpellier;École nationale supérieure de chimie de Montpellier;2017
Université;18893;865;11223;3464;2370;45234;Orléans;Université d'Orléans;2017
Autre établissement;3686;125;2448;666;266;81004;Albi;Institut national universitaire Jean-François Champollion;2017
École;705;95;461;58;91;14118;Caen;École nationale supérieure d'ingénieurs de Caen;2017
Université;22887;1360;15170;3132;2572;49007;Angers;Université d'Angers;2017
Autre établissement;1274;163;924;60;127;35238;Rennes;Sciences Po Rennes;2017
École;1147;82;890;89;86;65440;Tarbes;École nationale d'ingénieurs de Tarbes;2017
Université;15485;792;9901;2875;1525;33318;Pessac;Université Bordeaux Montaigne;2017
Université;9024;291;5281;2414;891;91228;Évry-Courcouronnes;Université d'Évry-Val-d'Essonne;2017
Grand établissement;80;6;32;3;39;75105;Paris  5e;Institut de physique du globe;2017
École;1949;202;1325;67;355;76575;Saint-Étienne-du-Rouvray;Institut national des sciences appliquées de Rouen Normandie;2017
Université;3360;114;1371;1379;433;97302;Cayenne;Université de Guyane;2017
Grand établissement;5886;707;3996;552;629;75113;Paris 13e;Arts et Métiers Sciences et Technologies;2017
École;1918;431;1195;65;220;69387;Lyon 7e;École normale supérieure de Lyon;2017
École;3751;410;2533;155;653;31555;Toulouse;Toulouse INP;2017
Université;9057;260;4679;1810;2100;66136;Perpignan;Université de Perpignan Via Domitia;2017
Université;28707;1738;18916;5083;2065;14118;Caen;Université de Caen Normandie;2017
Grand établissement;101;8;74;19;;75114;Paris 14e;Observatoire de Paris;2017
Grand établissement;3153;239;1252;290;1372;75113;Paris 13e;École des hautes études en sciences sociales;2017
Université;8683;299;5258;1587;1364;59183;Dunkerque;Université du Littoral Côte d'Opale;2017
Université;3098;146;1874;832;199;98738;Punaauia;Université de la Polynésie Française;2017
Université;19927;706;10777;4354;3704;34172;Montpellier;Université Paul-Valéry - Montpellier 3;2018
École;1111;183;640;35;253;13213;Marseille 13e;Centrale Marseille;2018
Grand établissement;5448;700;3391;192;1070;38185;Grenoble;Institut polytechnique de Grenoble;2018
Autre établissement;2873;160;1880;664;169;34172;Montpellier;Université de Montpellier;2018
École;1668;269;1019;34;346;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2018
École;363;29;273;12;49;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2018
École;1012;69;790;76;77;42218;Saint-Étienne;Centrale Lyon;2018
Université;16463;845;8650;2573;4055;75105;Paris  5e;Université Sorbonne Nouvelle - Paris 3;2018
Université;27046;1933;18642;3175;2160;35238;Rennes;Université de Rennes 1;2018
Autre établissement;5460;326;3952;1046;136;59009;Villeneuve-d'Ascq;Université de Lille;2018
École;722;101;471;20;130;86062;Chasseneuil-du-Poitou;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;2018
École;1194;96;927;66;105;65440;Tarbes;École nationale d'ingénieurs de Tarbes;2018
Université;12783;551;8095;1904;1672;64445;Pau;Université de Pau et des Pays de l'Adour;2018
Université;15831;787;10299;2683;1653;33318;Pessac;Université Bordeaux Montaigne;2018
École;597;48;432;61;56;93070;Saint-Ouen-sur-Seine;ISAE-Supméca;2018
Autre établissement;766;94;520;38;114;75105;Paris  5e;Université Paris sciences et lettres;2018
Université;12111;460;7124;2227;1957;59032;Aulnoy-lez-Valenciennes;Université Polytechnique Hauts-de-France;2018
Université;68255;4371;42883;10037;8435;59350;Lille;Université de Lille;2018
École;541;90;337;27;87;91228;Évry-Courcouronnes;École nationale supérieure d'informatique pour l'industrie et l'entreprise;2018
Université;3009;827;1173;476;533;98818;Nouméa;Université de la Nouvelle-Calédonie;2018
École;740;55;541;37;107;29019;Brest;École nationale d'ingénieurs de Brest;2018
École;2403;310;1090;52;951;44109;Nantes;Centrale Nantes;2018
Autre établissement;2923;226;1191;216;1290;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2018
Université;26962;1613;17812;3521;3390;86194;Poitiers;Université de Poitiers;2018
École;3881;411;2635;157;678;31555;Toulouse;Toulouse INP;2018
Université;29119;1666;19638;4682;2153;14118;Caen;Université de Caen Normandie;2018
Université;18982;951;12072;3138;2433;42218;Saint-Étienne;Université Jean Monnet;2018
Université;20741;781;12770;3869;2918;35238;Rennes;Université Rennes 2;2018
Grand établissement;10308;1167;5718;373;2985;75107;Paris  7e;Sciences Po;2018
École;430;72;242;4;112;75105;Paris  5e;Chimie ParisTech-PSL;2018
Université;33548;1380;20463;7263;3955;94028;Créteil;Université Paris-Est Créteil;2018
École;1767;105;702;306;654;75105;Paris  5e;IAE Paris - Sorbonne Business School;2018
Université;24750;1228;17287;3549;2206;29019;Brest;Université de Bretagne Occidentale;2019
